old_source_path,old_url,source_type,old_product,old_platform,new_source_path,new_url,redirect_status,http_status,notes,迁移之后的处理
docs-api-reference/cloud-recording/go-api/samplelogger.go.mdx,/api-ref/cloud-recording/go/go-api/samplelogger.html,docs-api-reference,cloud-recording,go,content/docs/zh-CN/api-reference/cloud-recording/go-api/samplelogger.go.mdx,/zh-CN/api-reference/cloud-recording/go-api/samplelogger.go,redirect,301,新站已有对应 API 分类
docs-api-reference/cloud-recording/go-api/struct.go.mdx,/api-ref/cloud-recording/go/go-api/struct.html,docs-api-reference,cloud-recording,go,content/docs/zh-CN/api-reference/cloud-recording/go-api/struct.go.mdx,/zh-CN/api-reference/cloud-recording/go-api/struct.go,redirect,301,新站已有对应 API 分类
docs-api-reference/cloud-recording/go-api/webrecording.go.mdx,/api-ref/cloud-recording/go/go-api/webrecording.html,docs-api-reference,cloud-recording,go,content/docs/zh-CN/api-reference/cloud-recording/go-api/webrecording.go.mdx,/zh-CN/api-reference/cloud-recording/go-api/webrecording.go,redirect,301,新站已有对应 API 分类
docs-api-reference/cloud-recording/java-api/basicauthcredential.java.mdx,/api-ref/cloud-recording/java/java-api/basicauthcredential.html,docs-api-reference,cloud-recording,java,content/docs/zh-CN/api-reference/cloud-recording/java-api/basicauthcredential.java.mdx,/zh-CN/api-reference/cloud-recording/java-api/basicauthcredential.java,redirect,301,新站已有对应 API 分类
docs-api-reference/cloud-recording/java-api/cloudrecordingclient.java.mdx,/api-ref/cloud-recording/java/java-api/cloudrecordingclient.html,docs-api-reference,cloud-recording,java,content/docs/zh-CN/api-reference/cloud-recording/java-api/cloudrecordingclient.java.mdx,/zh-CN/api-reference/cloud-recording/java-api/cloudrecordingclient.java,redirect,301,新站已有对应 API 分类
docs-api-reference/cloud-recording/java-api/enum.java.mdx,/api-ref/cloud-recording/java/java-api/enum.html,docs-api-reference,cloud-recording,java,content/docs/zh-CN/api-reference/cloud-recording/java-api/enum.java.mdx,/zh-CN/api-reference/cloud-recording/java-api/enum.java,redirect,301,新站已有对应 API 分类
docs-api-reference/cloud-recording/java-api/individualscenario.java.mdx,/api-ref/cloud-recording/java/java-api/individualscenario.html,docs-api-reference,cloud-recording,java,content/docs/zh-CN/api-reference/cloud-recording/java-api/individualscenario.java.mdx,/zh-CN/api-reference/cloud-recording/java-api/individualscenario.java,redirect,301,新站已有对应 API 分类
docs-api-reference/cloud-recording/java-api/mixscenario.java.mdx,/api-ref/cloud-recording/java/java-api/mixscenario.html,docs-api-reference,cloud-recording,java,content/docs/zh-CN/api-reference/cloud-recording/java-api/mixscenario.java.mdx,/zh-CN/api-reference/cloud-recording/java-api/mixscenario.java,redirect,301,新站已有对应 API 分类
docs-api-reference/cloud-recording/java-api/overview.java.mdx,/api-ref/cloud-recording/java/java-api/overview.html,docs-api-reference,cloud-recording,java,content/docs/zh-CN/api-reference/cloud-recording/java-api/overview.java.mdx,/zh-CN/api-reference/cloud-recording/java-api/overview.java,redirect,301,新站已有对应 API 分类
docs-api-reference/cloud-recording/java-api/struct.java.mdx,/api-ref/cloud-recording/java/java-api/struct.html,docs-api-reference,cloud-recording,java,content/docs/zh-CN/api-reference/cloud-recording/java-api/struct.java.mdx,/zh-CN/api-reference/cloud-recording/java-api/struct.java,redirect,301,新站已有对应 API 分类
