shared_path,referenced_by,nested_dependencies,depth,product_scope,platform_scope,target_strategy,status,risk,blocker,notes
shared/rtm2/_stateitem.mdx,docs-api-reference/rtm2/_en/_android/_presence-en.android.mdx|docs-api-reference/rtm2/_en/_cpp/_presence-en.cpp.mdx|docs-api-reference/rtm2/_en/_harmonyos/_presence-en.harmonyos.mdx|docs-api-reference/rtm2/_en/_ios/_configuration-en.ios.mdx|docs-api-reference/rtm2/_en/_ios/_presence-en.ios.mdx|docs-api-reference/rtm2/_en/_javascript/_presence-en.javascript.mdx|docs-api-reference/rtm2/_en/_swift/_presence-en.swift.mdx|docs-api-reference/rtm2/_en/_unity/_presence-en.unity.mdx|docs-api-reference/rtm2/toc-configuration/configuration.cpp.mdx|docs-api-reference/rtm2/toc-configuration/configuration.harmonyos.mdx|docs-api-reference/rtm2/toc-presence/presence.cpp.mdx|docs-api-reference/rtm2/toc-presence/presence.harmonyos.mdx|docs-api-reference/rtm2/toc-presence/presence.unity.mdx|docs/rtm2/user-guide/presence/event.mdx,,0,rtm2,android|cpp|harmonyos|ios|javascript|swift|unity,convert to Fumadocs include or statically inline after dependency review,ready_for_mapping,medium,,referenced_by_count=14; generated=2026-07-02T10:27:25.467Z
shared/rtm2/_storage.mdx,docs-api-reference/rtm2/_en/_android/_configuration-en.android.mdx|docs-api-reference/rtm2/_en/_android/_enumv-en.mdx|docs-api-reference/rtm2/_en/_android/_presence-en.android.mdx|docs-api-reference/rtm2/_en/_android/_storage-en.android.mdx|docs-api-reference/rtm2/_en/_cpp/_configuration-en.cpp.mdx|docs-api-reference/rtm2/_en/_cpp/_enumv-en.mdx|docs-api-reference/rtm2/_en/_cpp/_presence-en.cpp.mdx|docs-api-reference/rtm2/_en/_cpp/_storage-en.cpp.mdx|docs-api-reference/rtm2/_en/_flutter/_configuration-en.flutter.mdx|docs-api-reference/rtm2/_en/_flutter/_enumv-en.mdx|docs-api-reference/rtm2/_en/_flutter/_presence-en.flutter.mdx|docs-api-reference/rtm2/_en/_flutter/_storage-en.flutter.mdx|docs-api-reference/rtm2/_en/_harmonyos/_configuration-en.harmonyos.mdx|docs-api-reference/rtm2/_en/_harmonyos/_enumv-en.mdx|docs-api-reference/rtm2/_en/_harmonyos/_presence-en.harmonyos.mdx|docs-api-reference/rtm2/_en/_harmonyos/_storage-en.harmonyos.mdx|docs-api-reference/rtm2/_en/_ios/_configuration-en.ios.mdx|docs-api-reference/rtm2/_en/_ios/_enumv-en.mdx|docs-api-reference/rtm2/_en/_ios/_presence-en.ios.mdx|docs-api-reference/rtm2/_en/_ios/_storage-en.ios.mdx,,0,dummy-product|rtm2,android|cpp|flutter|harmonyos|ios|javascript|swift|unity,convert to Fumadocs include or statically inline after dependency review,ready_for_mapping,medium,,referenced_by_count=84; generated=2026-07-02T10:27:25.467Z
shared/rtm2/_storageevent.mdx,docs/rtm2/user-guide/storage/event.mdx,,0,rtm2,,convert to Fumadocs include or statically inline after dependency review,ready_for_mapping,medium,,referenced_by_count=1; generated=2026-07-02T10:27:25.467Z
shared/rtm2/_token.mdx,docs-api-reference/rtm2/_en/_android/_token-en.android.mdx|docs-api-reference/rtm2/_en/_cpp/_token-en.cpp.mdx|docs-api-reference/rtm2/_en/_flutter/_token-en.flutter.mdx|docs-api-reference/rtm2/_en/_harmonyos/_token-en.harmonyos.mdx|docs-api-reference/rtm2/_en/_ios/_token-en.ios.mdx|docs-api-reference/rtm2/_en/_javascript/_token-en.javascript.mdx|docs-api-reference/rtm2/_en/_swift/_token-en.swift.mdx|docs-api-reference/rtm2/toc-token/token.android.mdx|docs-api-reference/rtm2/toc-token/token.cpp.mdx|docs-api-reference/rtm2/toc-token/token.flutter.mdx|docs-api-reference/rtm2/toc-token/token.harmonyos.mdx|docs-api-reference/rtm2/toc-token/token.ios.mdx|docs-api-reference/rtm2/toc-token/token.javascript.mdx|docs-api-reference/rtm2/toc-token/token.swift.mdx|docs-api-reference/rtm2/toc-token/token.unity.mdx|docs/rtm2/overview/billing/billing-rules.mdx,,0,rtm2,android|cpp|flutter|harmonyos|ios|javascript|swift|unity,convert to Fumadocs include or statically inline after dependency review,ready_for_mapping,medium,,referenced_by_count=16; generated=2026-07-02T10:27:25.467Z
shared/rtm2/_topic.mdx,docs-api-reference/rtm2/_en/_android/_channel-en.android.mdx|docs-api-reference/rtm2/_en/_android/_message-en.android.mdx|docs-api-reference/rtm2/_en/_android/_token-en.android.mdx|docs-api-reference/rtm2/_en/_android/_topic-en.android.mdx|docs-api-reference/rtm2/_en/_cpp/_channel-en.cpp.mdx|docs-api-reference/rtm2/_en/_cpp/_message-en.cpp.mdx|docs-api-reference/rtm2/_en/_cpp/_token-en.cpp.mdx|docs-api-reference/rtm2/_en/_cpp/_topic-en.cpp.mdx|docs-api-reference/rtm2/_en/_flutter/_channel-en.flutter.mdx|docs-api-reference/rtm2/_en/_flutter/_message-en.flutter.mdx|docs-api-reference/rtm2/_en/_flutter/_token-en.flutter.mdx|docs-api-reference/rtm2/_en/_flutter/_topic-en.flutter.mdx|docs-api-reference/rtm2/_en/_harmonyos/_channel-en.harmonyos.mdx|docs-api-reference/rtm2/_en/_harmonyos/_message-en.harmonyos.mdx|docs-api-reference/rtm2/_en/_harmonyos/_token-en.harmonyos.mdx|docs-api-reference/rtm2/_en/_harmonyos/_topic-en.harmonyos.mdx|docs-api-reference/rtm2/_en/_ios/_channel-en.ios.mdx|docs-api-reference/rtm2/_en/_ios/_message-en.ios.mdx|docs-api-reference/rtm2/_en/_ios/_token-en.ios.mdx|docs-api-reference/rtm2/_en/_ios/_topic-en.ios.mdx,,0,dummy-product|rtm2,android|cpp|flutter|harmonyos|ios|javascript|swift|unity,convert to Fumadocs include or statically inline after dependency review,ready_for_mapping,medium,,referenced_by_count=102; generated=2026-07-02T10:27:25.467Z
shared/rtm2/_topicevent.mdx,docs/rtm2/user-guide/topic/event.mdx,shared/rtm2/_enumv.mdx|shared/rtm2/_topic.mdx,1,rtm2,,convert to Fumadocs include or statically inline after dependency review,needs_review,high,Nested shared dependencies require include-depth review and static expansion decision.,referenced_by_count=1; generated=2026-07-02T10:27:25.467Z
shared/rtsa/license.mdx,docs/iot-apaas/get-started/license.mdx|docs/rtsa/basic-features/license.mdx,docs/shared/rtsc/switch-domain.mdx,1,iot-apaas|rtsa,,convert to Fumadocs include or statically inline after dependency review,needs_review,high,Nested shared dependencies require include-depth review and static expansion decision.,referenced_by_count=2; generated=2026-07-02T10:27:25.467Z
shared/rtsa/var.mdx,docs/rtsa/advanced-features/send-message-through-rdt-channel.mdx,,0,rtsa,,convert to Fumadocs include or statically inline after dependency review,ready_for_mapping,medium,,referenced_by_count=1; generated=2026-07-02T10:27:25.467Z
shared/security/apply-regulation-1.mdx,docs-basics/security/_rtsa-sdk.mdx|docs-basics/security/flexible-classroom-sdk.mdx|docs-basics/security/video-sdk.mdx|docs-basics/security/voice-sdk.mdx|docs/rtm2/security.mdx,,0,basics|rtm2,,convert to Fumadocs include or statically inline after dependency review,ready_for_mapping,medium,,referenced_by_count=5; generated=2026-07-02T10:27:25.467Z
shared/security/apply-regulation-2.mdx,docs-basics/security/_rtsa-sdk.mdx|docs-basics/security/fastboard-sdk.mdx|docs-basics/security/flexible-classroom-sdk.mdx|docs-basics/security/video-sdk.mdx|docs-basics/security/voice-sdk.mdx|docs-basics/security/whiteboard-sdk.mdx|docs/rtm2/security.mdx,,0,basics|rtm2,,convert to Fumadocs include or statically inline after dependency review,ready_for_mapping,medium,,referenced_by_count=7; generated=2026-07-02T10:27:25.467Z
shared/smart-camera/advanced-feature.mdx,docs/smart-camera/advanced-feature.mdx|docs/smart-doorbell/paas/advanced-feature.mdx,,0,smart-camera|smart-doorbell,,convert to Fumadocs include or statically inline after dependency review,ready_for_mapping,medium,,referenced_by_count=2; generated=2026-07-02T10:27:25.467Z
shared/smart-camera/amazon-alexa.mdx,docs/smart-camera/value-added-feature/amazon-alexa.mdx|docs/smart-doorbell/paas/value-added-feature/amazon-alexa.mdx,,0,smart-camera|smart-doorbell,,convert to Fumadocs include or statically inline after dependency review,ready_for_mapping,medium,,referenced_by_count=2; generated=2026-07-02T10:27:25.467Z
shared/smart-camera/google-assistant.mdx,docs/smart-camera/value-added-feature/google-assistant.mdx|docs/smart-doorbell/paas/value-added-feature/google-assistant.mdx,,0,smart-camera|smart-doorbell,,convert to Fumadocs include or statically inline after dependency review,ready_for_mapping,medium,,referenced_by_count=2; generated=2026-07-02T10:27:25.467Z
shared/smart-camera/quick-start.mdx,docs/smart-camera/get-started/quick-start.mdx|docs/smart-doorbell/paas/get-started/quick-start.mdx,,0,smart-camera|smart-doorbell,,convert to Fumadocs include or statically inline after dependency review,ready_for_mapping,medium,,referenced_by_count=2; generated=2026-07-02T10:27:25.467Z
shared/test.mdx,docs/dummy-product/test/toc.mdx|docs/dummy-product/test/toc2.mdx,,0,dummy-product,,convert to Fumadocs include or statically inline after dependency review,ready_for_mapping,medium,,referenced_by_count=2; generated=2026-07-02T10:27:25.467Z
